id_atendimento,data_do_atendimento,nome_solicitante,nome_do_produto,nome_setor
1,2023-11-01,"João da Silva","Livro Bernoulli - Vol 1","Controle de Qualidade"
2,2023-11-02,"Maria Oliveira","Manual Fiat - FIAT ARGO",Impressão
3,2023-11-03,"Tech Solutions Ltda","Manual Fiat - FIAT CRONOS","Controle de Qualidade"
4,2023-11-04,"Pedro Santos","Manual Fiat - FIAT DUCATO","Controle de Qualidade"
5,2023-11-05,"Comércio Global SA","Manual Fiat - FIAT FASTBACK",Impressão
6,2023-11-06,"Ana Costa","Manual Fiat - FIAT FIORINO",Impressão
7,2023-11-07,"InforPeças ME","Manual Fiat - FIAT MOBI","Controle de Qualidade"
8,2023-11-08,"Lucas Pereira","Manual Fiat - FIAT PULSE","Controle de Qualidade"
9,2023-11-09,"Escritório Silva","Manual Fiat - FIAT SCUDO",Impressão
10,2023-11-10,"Beatriz Rocha","Manual Fiat - FIAT Toro",Mídias
11,2023-11-12,"Bruna Almeida","Manual Fiat - FIAT STRADA","Controle de Qualidade"
12,2023-11-12,"Bruna Almeida","Manual Jeep - RENEGADE","Controle de Qualidade"
13,2023-11-15,"Thiago Monteiro","Apostila Matemática - 2º Ano",Mídias
14,2023-11-16,"Thiago Monteiro","Apostila Português - 2º Ano","Controle de Qualidade"
15,2023-11-18,"Larissa Couto","Manual Fiat - FIAT 500e",Impressão
16,2023-11-20,"Renato Barros","Manual Citroën - C3",Mídias
17,2023-11-21,"Renato Barros","Manual Citroën - C4 Cactus","Controle de Qualidade"
18,2023-11-22,"Camila Torres","Livro História do Brasil",Mídias
19,2023-11-25,"Mercado Bom Preço","Manual Peugeot - 208",Impressão
20,2023-11-26,"Mercado Bom Preço","Manual Peugeot - 3008","Controle de Qualidade"
